,Date,Price,Price_Future
359,2022-11-12,16806.9,16321.2
360,2022-11-13,16321.2,16605.2
361,2022-11-14,16605.2,16888.3
362,2022-11-15,16888.3,16650.6
363,2022-11-16,16650.6,16682.1
364,2022-11-17,16682.1,16689.7
365,2022-11-18,16689.7,16692.9
366,2022-11-19,16692.9,16272.6
367,2022-11-20,16272.6,15773.0
368,2022-11-21,15773.0,16220.6
369,2022-11-22,16220.6,16595.8
370,2022-11-23,16595.8,16592.4
371,2022-11-24,16592.4,16516.1
372,2022-11-25,16516.1,16449.2
373,2022-11-26,16449.2,16422.6
374,2022-11-27,16422.6,16204.5
375,2022-11-28,16204.5,16433.2
376,2022-11-29,16433.2,17153.3
377,2022-11-30,17153.3,16970.5
378,2022-12-01,16970.5,17083.0
379,2022-12-02,17083.0,16879.5
380,2022-12-03,16879.5,17099.5
381,2022-12-04,17099.5,16958.3
382,2022-12-05,16958.3,17078.6
383,2022-12-06,17078.6,16828.0
384,2022-12-07,16828.0,17216.0
385,2022-12-08,17216.0,17122.0
386,2022-12-09,17122.0,17120.0
387,2022-12-10,17120.0,17077.3
388,2022-12-11,17077.3,17200.0
389,2022-12-12,17200.0,17777.1
390,2022-12-13,17777.1,17803.9
391,2022-12-14,17803.9,17351.8
392,2022-12-15,17351.8,16624.1
393,2022-12-16,16624.1,16768.0
394,2022-12-17,16768.0,16730.3
395,2022-12-18,16730.3,16429.2
396,2022-12-19,16429.2,16887.2
397,2022-12-20,16887.2,16819.6
398,2022-12-21,16819.6,16815.5
399,2022-12-22,16815.5,16776.4
400,2022-12-23,16776.4,16828.9
401,2022-12-24,16828.9,16824.4
402,2022-12-25,16824.4,16912.9
403,2022-12-26,16912.9,16698.2
404,2022-12-27,16698.2,16539.0
405,2022-12-28,16539.0,16630.3
406,2022-12-29,16630.3,16601.2
407,2022-12-30,16601.2,16537.6
408,2022-12-31,16537.6,16610.3
409,2023-01-01,16610.3,16666.0
410,2023-01-02,16666.0,16667.2
411,2023-01-03,16667.2,16842.1
412,2023-01-04,16842.1,16823.8
413,2023-01-05,16823.8,16943.8
414,2023-01-06,16943.8,16936.5
415,2023-01-07,16936.5,17124.7
416,2023-01-08,17124.7,17169.7
417,2023-01-09,17169.7,17428.8
418,2023-01-10,17428.8,17935.7
419,2023-01-11,17935.7,18838.0
420,2023-01-12,18838.0,19924.2
421,2023-01-13,19924.2,20962.8
422,2023-01-14,20962.8,20882.7
423,2023-01-15,20882.7,21188.3
424,2023-01-16,21188.3,21130.9
425,2023-01-17,21130.9,20680.0
426,2023-01-18,20680.0,21068.3
427,2023-01-19,21068.3,22661.1
428,2023-01-20,22661.1,22781.9
429,2023-01-21,22781.9,22704.6
430,2023-01-22,22704.6,22913.1
431,2023-01-23,22913.1,22627.4
432,2023-01-24,22627.4,23060.6
433,2023-01-25,23060.6,23001.9
434,2023-01-26,23001.9,23068.0
435,2023-01-27,23068.0,23015.9
436,2023-01-28,23015.9,23740.3
437,2023-01-29,23740.3,22819.9
438,2023-01-30,22819.9,23119.4
439,2023-01-31,23119.4,23730.0
440,2023-02-01,23730.0,23493.1
441,2023-02-02,23493.1,23424.7
442,2023-02-03,23424.7,23322.6
443,2023-02-04,23322.6,22929.2
444,2023-02-05,22929.2,22757.7
445,2023-02-06,22757.7,23234.1
446,2023-02-07,23234.1,22955.9
447,2023-02-08,22955.9,21793.4
448,2023-02-09,21793.4,21618.6
449,2023-02-10,21618.6,21851.3
450,2023-02-11,21851.3,21771.1
451,2023-02-12,21771.1,21766.2
452,2023-02-13,21766.2,22187.4
453,2023-02-14,22187.4,24332.6
454,2023-02-15,24332.6,23526.6
455,2023-02-16,23526.6,24581.5
456,2023-02-17,24581.5,24636.9
457,2023-02-18,24636.9,24265.9
458,2023-02-19,24265.9,24849.9
459,2023-02-20,24849.9,24443.4
460,2023-02-21,24443.4,24171.3
461,2023-02-22,24171.3,23928.8
462,2023-02-23,23928.8,23175.6
463,2023-02-24,23175.6,23146.2
464,2023-02-25,23146.2,23545.3
465,2023-02-26,23545.3,23480.0
466,2023-02-27,23480.0,23129.6
467,2023-02-28,23129.6,23619.8
468,2023-03-01,23619.8,23457.1
469,2023-03-02,23457.1,22342.8
470,2023-03-03,22342.8,22335.7
471,2023-03-04,22335.7,22419.4
472,2023-03-05,22419.4,22397.1
473,2023-03-06,22397.1,22187.1
474,2023-03-07,22187.1,21695.4
475,2023-03-08,21695.4,20348.3
476,2023-03-09,20348.3,20140.3
477,2023-03-10,20140.3,20447.3
478,2023-03-11,20447.3,21986.2
479,2023-03-12,21986.2,24119.5
480,2023-03-13,24119.5,24682.5
481,2023-03-14,24682.5,24288.0
482,2023-03-15,24288.0,24990.4
483,2023-03-16,24990.4,27384.0
484,2023-03-17,27384.0,26907.0
485,2023-03-18,26907.0,27955.7
486,2023-03-19,27955.7,27704.1
487,2023-03-20,27704.1,28091.1
488,2023-03-21,28091.1,27233.8
489,2023-03-22,27233.8,28284.1
490,2023-03-23,28284.1,27438.9
491,2023-03-24,27438.9,27447.3
492,2023-03-25,27447.3,27954.3
493,2023-03-26,27954.3,27112.0
494,2023-03-27,27112.0,27249.7
495,2023-03-28,27249.7,28338.5
496,2023-03-29,28338.5,28015.0
497,2023-03-30,28015.0,28454.9
498,2023-03-31,28454.9,28350.0
